Facility_Number,FAC_ID,Name,Type,Category,Area
780,TEP II,,,,
785,TEP #1,Technology Enterprise Park #1,BUILDING,M,32705.0
790,CRB,,,,
791,HPLC,,,,
803,COBB CO BLDG 3,,,,
826,756 W PEACHTREE,,,,
835,CAMPUS,,,,
835A,CAMPUS(SURVEYS),,,,
837,675 W PEACHTREE,,,,
838,1594 MARIETTA,,,,
882,818 J LOWERY BLVD,,,,
GC,GENERAL CAMPUS,,,,
